location,price,total_area,net_area,price_per_sqm,rooms_count,halls_count,bathrooms_count,balconies_count,floor_raw,floor_num,total_floors,building_age_clean,age_category,legal_status,house_condition,kitchen_type,heating_type,has_elevator,has_parking,in_complex,is_furnished,facade_directions,advertiser_type,near_mosque,near_hospital,near_park,near_university,near_school,near_market,near_transport
الوعر,135000,200,180,675.0,3,1,2,1,أرضي,0,4,7.5,Semi-New,طابو أخضر/نظامي,مسكون من صاحبه,مغلق,تدفئة ديزل,بدون مصعد,يوجد موقف,داخل مجمع,مفروش,"جنوب,شرق,شمال",وسيط,0,0,0,0,0,0,0
كرم الشامي,140000,140,136,1000.0,3,1,2,2,1,1,3,7.5,Semi-New,طابو أخضر/نظامي,مسكون من صاحبه,مغلق,لا يوجد,بدون مصعد,بدون موقف,خارج مجمع,غير مفروش,"جنوب,شرق,شمال,غرب",وسيط,0,0,0,0,0,0,0
كرم الشامي,140000,140,140,1000.0,2,1,2,2,1,1,4,7.5,Semi-New,طابو أخضر/نظامي,مسكون من صاحبه,مغلق,تدفئة ديزل,بدون مصعد,يوجد موقف,داخل مجمع,مفروش,"شرق,غرب",وسيط,0,0,0,0,0,0,0
الوعر,140000,268,268,522.39,4,1,2,2,1,1,4,12.5,Medium,طابو أخضر/نظامي,فارغ,مغلق,تدفئة ديزل,بدون مصعد,يوجد موقف,داخل مجمع,غير مفروش,"جنوب,غرب",وسيط,0,0,0,0,0,0,0
ضاحية الوليد,140000,170,170,823.53,2,1,2,1,أرضي,0,5,7.5,Semi-New,حكم محكمة,مسكون من صاحبه,مفتوح (أمريكي),تدفئة ديزل,بدون مصعد,يوجد موقف,داخل مجمع,مفروش,"جنوب,شمال,غرب",وسيط,0,0,0,0,0,0,0
الخضر,140000,200,180,700.0,3,2,2,1,2,2,3,17.5,Medium,طابو أخضر/نظامي,مسكون من صاحبه,مغلق,تدفئة ديزل,بدون مصعد,يوجد موقف,خارج مجمع,مفروش,جنوب,المالك,0,0,0,0,0,0,0
المحطة,143000,155,155,922.58,2,1,2,2,3,3,3,15.0,Medium,طابو أخضر/نظامي,مسكون من صاحبه,مغلق,تدفئة ديزل,بدون مصعد,يوجد موقف,داخل مجمع,غير مفروش,"جنوب,شرق,غرب",وسيط,1,0,0,0,0,0,0
الوعر,145000,200,180,725.0,3,1,2,3,1,1,10,12.5,Medium,طابو أخضر/نظامي,مؤجر,مغلق,تدفئة ديزل,يوجد مصعد,يوجد موقف,داخل مجمع,غير مفروش,"جنوب,غرب",المالك,0,1,0,0,1,1,1
الفردوس,160000,200,200,800.0,4,1,2,2,2,2,3,17.5,Medium,كاتب عدل/وكالة,مؤجر,مغلق,لا يوجد,بدون مصعد,بدون موقف,داخل مجمع,غير مفروش,غرب,وسيط,0,0,0,0,0,0,0
المحطة,160000,200,180,800.0,5,1,2,1,2,2,4,35.0,Old,طابو أخضر/نظامي,فارغ,مفتوح (أمريكي),لا يوجد,بدون مصعد,بدون موقف,داخل مجمع,غير مفروش,غرب,المالك,0,0,0,0,0,0,0
المحطة,165000,200,200,825.0,5,1,2,1,أرضي,0,4,10.0,Semi-New,طابو أخضر/نظامي,مسكون من صاحبه,مغلق,تدفئة ديزل,بدون مصعد,يوجد موقف,داخل مجمع,مفروش,"شرق,غرب",وسيط,0,1,0,0,0,0,0
المحطة,180000,180,180,1000.0,3,1,2,1,2,2,5,7.5,Semi-New,طابو أخضر/نظامي,فارغ,مغلق,تدفئة ديزل,بدون مصعد,يوجد موقف,داخل مجمع,مفروش,"جنوب,غرب",وسيط,0,0,0,0,0,0,0
